GTスパイラル,"株式会社GTスパイラル（じーてぃーすぱいらる、英称：GT Spiral Co., Ltd.）は、熊本県熊本市のメーカー。特殊な技術により、ネジリを加えた平鋼を用いた杭基礎、安全対策用品、装飾金物等の製造及び販売をしている。"
IHIインフラシステム,株式会社IHIインフラシステムとは、大阪府堺市堺区に本社を置く、鉄骨・橋梁・水門の設計・施工などを行う会社である。IHI、栗本鐵工所、松尾橋梁の橋梁・水門事業を統合して発足。IHIの子会社である。
J・3D,株式会社J・3Dは、名古屋市港区に本社を置く日本で初めての金属受託造形サービス専門の会社である。
JFEコンテイナー,"JFEコンテイナー（ジェイエフイーコンテイナー、英文 JFE Container CO.,Ltd.）は、ドラム缶や高圧ガス容器などの産業容器を製造する、JFEスチールグループの企業である。川鉄コンテイナーと鋼管ドラムが合併し発足した。"
LAF_ジャパン,"株式会社LAF　ジャパンは、福岡県北九州市に本社を置くマグネシウム合金メーカー。上海軽合金精密成型国家工程研究中心有限公司（SHANGHAI LIGHT ALLOY NET FORMING NATIONAL ENGINEERING RESEARCH CENTER CO.,LTD)の窓口企業として日本に設立された法人。 上海交通大学が開発したマグネシウムの新合金の普及を図る。"
LIXILグループ,株式会社LIXILグループ（リクシルグループ、LIXIL Group Corporation）は、サッシ・建材・住宅機器メーカーを傘下とする持株会社。
LIXIL鈴木シャッター,"株式会社LIXIL鈴木シャッター（リクシルすずきシャッター、LIXIL SUZUKI SHUTTER CO., LTD.）は、東京都豊島区に本社を置くシャッターなどを製造する企業である。かつて三機工業の傘下に置いていたが、現在は株式会社LIXILの傘下に置いている。"
MIEコーポレーション,"株式会社MIEコーポレーション（エムアイイーコーポレーション、英: MIE CORPORATION CO., LTD. ）は、ステンレス製管継ぎ手、フランジの大手メーカーである。”エムアイイー”との呼称は、株式移転により完全子会社化された株式会社MIEテクノ（エムアイイーテクノ）から引き継がれたものであり、「三重（ミエ）」だけではなく全世界に飛躍する思いをかけて「MIE（ミエ）」をローマ字読みにした。中国製造子会社を拠点とした海外製造販売に力を入れている。名古屋証券取引所第二部単独上場銘柄のひとつである（証券コードは3442）。"
OMソーラー,OMソーラー株式会社（オーエムソーラー株式会社）は、太陽熱利用システムのOMソーラーをはじめ、自然エネルギー利用技術を研究開発し、会員工務店を通じて住宅、学校、保育園、福祉施設などへ提供する事業を行う会社。
OSJBホールディングス,OSJBホールディングス株式会社（オーエスジェイビーホールディングス、英: OSJB Holdings Corporation）は、東京都江東区に本社を置く日本の持株会社。2014年に日本橋梁株式会社が持株会社に移行し、商号変更した。傘下に事業会社として、（新）日本橋梁株式会社、オリエンタル白石株式会社などを持つ。商号の由来はオリエンタル白石の頭文字OSと日本橋梁の頭文字JBを組み合わせたもの。
SUMCO,株式会社SUMCO（サムコ、英: SUMCO Corporation）は、新日鐵住金・三菱系の大手半導体用シリコンウェハーメーカーである。
SUMCO_TECHXIV,SUMCO TECHXIV株式会社（英称：SUMCO TECHXIV CORPORATION）は半導体用シリコンウェーハのメーカーである。コマツの関係会社であったが、2006年10月に、TOBにより、SUMCOの子会社となった。
TONE_(企業),"TONE株式会社（とね、英: TONE CO., LTD.）は、大阪府大阪市浪速区に本社を置く工具メーカーである。1925年（大正14年）創業。"
YKK_AP,YKK AP株式会社（ワイ・ケイ・ケイ　エイ・ピー、YKK AP Inc.）は、アルミ建材メーカー。YKKグループでファスナー事業と並ぶ中核事業を担う。アルミサッシの国内シェアはLIXILに次いで第2位。社名の「AP」の部分は「Architectural Products」の略。
アームストロング_(工具メーカー),アームストロング（Armstrong Bros. Tool Co. ）は、アメリカ合衆国のイリノイ州 シカゴに本社をおき、整備工具・作業工具を製造販売する企業である。
アーム産業,"株式会社アーム産業（あーむさんぎょう、ARM SANGYO CO., LTD）は、新潟県三条市に本社をおく、ARMブランドのボルトクリッパを主力とした切断工具、パイプレンチ等の作業工具と電動油圧工具・バッテリー式油圧工具・生爪などを製造販売する企業。"
アイエスケー,アイエスケー株式会社（ISK Corporation）は、大阪府大阪市西淀川区に本社を置くボルトメーカー。
アキュレイト,株式会社アキュレイト（英: Accurate Inc.）は埼玉県越谷市に本社を置く金属製品メーカーである。自社ブランドの規格ばね、雌ねじ補強インサート等の開発・ファブレス製造を行っている。
アサカ理研,"株式会社アサカ理研（アサカりけん、英: Asaka Riken Co., Ltd.）は、福島県郡山市に本社を置く貴金属の回収事業や洗浄事業、リサイクル事業を行う企業である。なお、社名に「理研」とあるが、理化学研究所および同研究所から派生し「理研」を冠する企業群（理研ビタミン、理研計器など）とは無関係である。"
アサヒ軽金属工業,アサヒ軽金属工業株式会社（アサヒけいきんぞくこうぎょう）は、大阪府大阪市中央区瓦町に本社を置く、圧力なべ・フライパンなどの製造販売を行う企業である。1944年創業。
アドバネクス,株式会社アドバネクスは、東京都北区田端六丁目にある製造販売会社である。
アドバネクスモーションデザイン,株式会社アドバネクスモーションデザイン（英: Advanex Motion Design Inc.）は、住宅等の金属ヒンジの開発などを行っている日本の金属製品メーカーである。旧社名は株式会社ストロベリーコーポレーション。
アトム_(作業用手袋製造),アトム株式会社（英文名称：Atom Corporation）は、広島県竹原市忠海東町に本社を置く手袋・ゴム靴製造メーカー。
アドレック,株式会社アドレック（Adrec Corporation. ）は、新潟県加茂市に本社を置くトルクレンチメーカー。2010年に株式会社渡邊製作所のトルクレンチ部門を独立させ、設立された。
アベル_(八尾市),アベル株式会社は、大阪府八尾市に本社を置く、金属製品製造と表面処理を主とする企業。
アマテイ,アマテイ株式会社は、兵庫県尼崎市に本社をおく、釘やネジの製造販売を行う企業である。
アルインコ,アルインコ株式会社（英: ALINCO INCORPORATED）は、大阪府大阪市中央区高麗橋に本社を置く企業。建築用仮設足場ならびに軽量仮設機材、フィットネスマシン、介護用品、アマチュア無線機などの開発・製造・販売をしている。かつてはアルインコ・テレビショッピングがあった。現在はテレビショッピング事業からは撤退し、ホームセンターなどの販売店経由での流通を主としている。
アルファ_(鍵),株式会社アルファ（ALPHA Corporation）は、神奈川県横浜市金沢区に本社を置く鍵などの製造販売を行う企業。
アンスコ_(企業),"株式会社アンスコ（アンスコ、英: ANSCO　Co., Ltd ）は、愛知県瀬戸市に本社を置く、六角穴付きボルト、六角穴付き止めねじ、ねじのゆるみ止め加工「A-ND（ゆるまない）」等の製造販売を行う企業。"
イワブチ,イワブチ株式会社（いわぶち、英: IWABUCHI CORPORATION）は、千葉県松戸市に本社を置く、電力、通信、信号、放送、鉄道用の電気架線金物及び関連製品全般の製造販売を行っている総合専門メーカーである。1950年（昭和25年）8月設立。
エイチワン,株式会社エイチワンは、埼玉県さいたま市大宮区に本社を置く自動車部品などを製造、販売するメーカーである。本田技研工業の関連会社。
エイト_(企業),"株式会社エイト（えいと、EIGHT TOOL CO., LTD）は、大阪府大阪市に本社をおく。EIGHTブランドで日本国内における唯一の六角棒スパナ専門メーカーである。品質の良さよりアメリカNASAのスペースシヤトルに搭載された実績がある。"
エムケー精工,"エムケー精工株式会社（エムケーせいこう、MK Seiko Co., Ltd. ）は、長野県千曲市に本社を置く自動車関連（洗車機など）、情報機器（LED表示機器）、生活機器（パン焼き機、レンジ台）などを扱うメーカーである。"
エンジニア_(企業),株式会社エンジニア（えんじにあ、ENGINEER.INC ）は大阪府大阪市東成区に本社をおく、エンジニアブランドのプライヤ・ペンチを主力とした工具を製造販売する企業。商品名「ネジザウルスGT」で知られている。
カクダイ,株式会社カクダイは、日本の水道用品の製造・販売を行っている企業。本社は大阪市西区立売堀一丁目4番4号にある。
ガスター,株式会社ガスター（GASTAR）は、神奈川県大和市に本社・工場を置く、東京ガスグループのガス機器メーカーである。かつてはあらゆるガス機器を自社ブランドで製造販売していたが、現在は業務提携等により東京ガス、リンナイ、INAXのブランドでガス給湯器、風呂釜、TES熱源機のみを製造している。空調事業部ではガスヒートポンプエアコン(GHP)のメンテナンスと販売を行っているが、機器の製造は行っていない（アイシン精機等からOEM調達している）。他に、北海道及び東北北部を主要市場としている大手暖房機器メーカー「サンポット」は、もともと同社が製造販売していた石油ストーブ部門が独立して発足したものである。
カネシカ,株式会社 カネシカは、兵庫県三木市工場公園内に本社を置く製造販売メーカー。
カネソウ,"カネソウ株式会社（英: KANESO Co., Ltd.）は、マンホール蓋、溝蓋、排水金具等の金属金具の建材を製造・販売するメーカーである。"
ガルバテックス,ガルバテックス株式会社は、溶融亜鉛めっき事業を行うJFEスチールグループの企業である。鋼構造物や鋼管、鋼材の亜鉛めっき加工などを行っている。
カワグレ,株式会社カワグレは、新潟県三条市に本社を置く、建設資材メーカー。
コロナ_(暖房器具),株式会社コロナ（英: CORONA CORPORATION）は、暖房器具製造会社の一つである。
サクラダ,株式会社サクラダは、千葉県市川市に本社を置いていた橋梁メーカー。
サンコーテクノ,サンコーテクノ株式会社は、千葉県流山市東初石六丁目に本社を置く、機器をコンクリートなどに固定する特殊ネジなどを扱う建築材料メーカーである。
サンコール,サンコール株式会社は、トヨタ、ホンダ向け中心にばね、リングなど精密部品製造会社。
サンスター技研,サンスター技研株式会社（サンスターぎけん）は金属部品、化学工業品メーカーである。本社は大阪府高槻市に所在。サンスターのグループ企業である。
サンポット,サンポット株式会社とは岩手県花巻市に本社を構える暖房器具などを製造する企業である。設立当初からポット燃焼（石油に点火した後に空気を混ぜて燃焼させ、排気ガスを煙突で屋外に排気する）方式の石油暖房器具を専門としており、寒冷地域である北海道、及び青森・岩手・秋田各県での販売シェアが圧倒的に高い。あるいは、学校の教室や、公共施設などの大きめの部屋向けの、業務用のFF暖房機などを中心に製造している。
ジーテクト,株式会社ジーテクト（G-TEKT CORPORATION）は埼玉県さいたま市大宮区に本社を置くホンダ系の車体部品メーカーである。
シムラ_(企業),株式会社シムラは金属加工を中心に事業を展開する企業。SHIMURAと表記されることが多い。
シンポ,"シンポ株式会社（英: SHINPO CO., LTD.）は、愛知県名古屋市名東区に本社を置く無煙ロースターメーカー。"
スーパーツール,"株式会社スーパーツール（英: SUPER TOOL CO., LTD.）は大阪府堺市に本社をおく、 SUPERTOOL ブランドの作業工具を主として製造販売する企業。"
スエカゲツール,"スエカゲツール株式会社（すえかげ、SUEKAGE TOOL CO, LTD. ）は、兵庫県三木市に本社をおく、S.E.K.ブランドのレンチを主力とした工具を製造販売する企業。昭和27年創業。"
スリーピークス技研,株式会社 スリーピークス技研（スリーピークスぎけん）は、新潟県三条市に本社をおく、3.peaksブランドのペンチを主力とした工具を製造販売する企業である。
ダイクレ,株式会社ダイクレは、広島県呉市に本社を置く、建設資材メーカー。
ダイケン,"株式会社ダイケン（英: Daiken Co., Ltd.）は、エクステリアや建材等の金物製品メーカー。本社は大阪市淀川区に所在する。大建工業とは無関係。"
ダイト工業,"ダイト工業株式会社（だいとこうぎょう、英称：Daito Industry Co.,Ltd.）は、大阪府大阪市西淀川区百島に本社を置く日本の鉄鋼二次メーカーである。1949年（昭和24年）設立。淀川製鋼所の協力会社。日本鉄鋼連盟 会員。"
ダイニチ工業,"ダイニチ工業株式会社（ダイニチこうぎょう、英: Dainichi Co., Ltd.）は、新潟県新潟市に本社を置く石油暖房機器製造会社である。東京証券取引所第一部上場企業（証券コード5951）。業務用大型石油ストーブ、家庭用石油ファンヒーターのシェア首位。家庭用石油ファンヒーターでは、大手家電メーカーを中心とした撤退でシェア上昇。加湿器、空気清浄機、焙煎機能付コーヒーメーカー、生ごみ乾燥処理機などの分野にも進出。余談だが、同じく新潟県が本社のコロナとは創業地が同じ三条市でライバル関係にあり、石油暖房機器分野でシェア争いを続けている。社名は「大日」に由来する。これは現会長が創業時に社名について悩んでいたところ、夢の中に大日如来が現れ、そこで世の中のためになる仕事をするようにというお告げを受けたこと、また、戦争で疲弊していた当時の日本を再び大きな日本へと甦らせたいということから、「大日」より「ダイニチ工業」と命名した。愛知県にある漬物製造会社のダイニチ食品とは無関係。"
タケウチテクノ,"タケウチテクノ株式会社 (Takeuchi Techno Co., Ltd.) は、愛知県名古屋市港区に本社を置く洗車機のメーカー。"
ツヴィリング・J.A.・ヘンケルス,ツヴィリング J.A. ヘンケルス(Zwilling J.A. Henckels AG)は、ドイツのゾーリンゲンに本拠を置く、刃物などのメーカーである。「ツヴィリング」や「ヘンケルス」などの名前で知られている。双子のマークが有名。なお、社名の「ツヴィリング」とは、ドイツ語で「双子」の意。創業は1731年にヨハン・ペーター・ヘンケルス（Johann Peter Henckels ）がゾーリンゲンのカトラリーギルドに双子のマークを登録した年とされている。その後、ヨハン・アブラハム・ヘンケルス(Johann Abraham Henckels)が1818年、ベルリンに第1号店をオープンさせた。社名の J.A. は彼の名前の略である。日本へは大阪万国博覧会の際に万能料理バサミが便利なドイツ製キッチン用品としてドイツ館で紹介されて以来ゾーリンゲンの名前とともに知られるようになった。ドイツ本社はゾーリンゲン市の歴史的建造物として保存されている。
ツノダ_(工具メーカー),"株式会社ツノダ（つのだ、Tsunoda Corporation Limited ）は、新潟県燕市に本社をおく、TTCブランドのプライヤ・ペンチ・ニッパー・ケーブルカッター等の作業工具を主力として製造販売する企業。旧社名は、株式会社角田工具製作所。昭和39年創業。偏心テコの応用で切断力を30%アップとなる高機能ツール「パワーシリーズ」を開発している。これは、刃元（作用点）から支点までの距離を短くする事により可能となった。売上比率は、利器工匠具卸40%、貿易商社40&、海外20%と海外主体となっている。使用しているブランドは、King TTC,TSUNODAである。タイに自社工場があり、日本の手動工具メーカーの中でも早期に海外工場を設立している。2011年3月には、BOI投資奨励認可事業になっている。（内容）工具製造事業計画①事業者： Thai Tsunoda Co., Ltd.②総投資額：9420万バーツ③出資概要：日本・タイ 合弁④タイ人雇用創出：43人⑤所在地：ランプーン県（BOI第3ゾーン）BOI（Board of Investment、通常「タイ国投資委員会」と訳される）とは、1954年制定の産業奨励法の運用窓口として設置され、タイ首相を委員長、工業大臣を副委員長として、タイの投資奨励策の決定、重要な投資案件の許認可等の活動を行っている。"
ツボサン,ツボサン株式会社はやすりを中心とする切削工具の製造・販売を行なう日本の会社である。
デュエル_(釣具会社),デュエル（DUEL）は、福岡県福岡市博多区にある日本の釣具メーカー。疑似餌、釣り糸を中心に、製造しており、釣り竿、釣り針、その他小物などを手掛ける釣り具の総合メーカーである。国内向けのルアーと釣り糸を扱う「デュエル(DUEL)」とイカ釣り製品と海外向けルアーの「ヨーヅリ(YO-ZURI)」の２ブランドを持つ。
トーアミ,株式会社トーアミは、大阪府四條畷市に本社を置く、溶接金網の製造販売を行う企業である。
トーカロ,トーカロ株式会社は、神戸市東灘区に本社を置く溶射などの表面改質（表面処理）を主体とする金属加工会社である。
トーコマ,トーコマ株式会社（とーこま）は兵庫県小野市に本社をおく、TOKOMAブランドのドライバーを主力とした、日本のドライバー専門メーカーである。1924年、（大正13年）森本福蔵がナイフメーカーとして創業する。1963年ドライバー等の作業工具メーカーに転身した。平成27年1月15日、神戸地方裁判所において破産手続きの開始決定を受け、倒産した。
トーソー,トーソー株式会社は主にブラインド、カーテンレールなどインテリア製品を扱うメーカー。本社は東京都中央区新川。立川ブラインド工業、ニチベイと共にブラインド業界の大手であり、3社で国内シェアの9割を占める。またカーテンレールのシェアが高く、国内トップである。
トープラ,"株式会社トープラ（英: Topura Co., Ltd.）は、神奈川県秦野市に本社を置く、自動車用ネジの製造・販売を行う企業。"
トステム,トステム（TOSTEM）は、日本の企業グループ・LIXILグループの株式会社LIXIL（リクシル）が展開するアルミサッシや建材のブランド名。また、トステム株式会社（TOSTEM Corporation）は、2011年（平成23年）3月までこれらの事業を展開していた企業である（法人格としては存続している）。アルミサッシの製造では日本国内シェア1位であった。
トップ工業,トップ工業株式会社（トップこうぎょう）は新潟県三条市に本社をおく、TOPブランドの作業工具を製造販売する企業。
トヨトミ,"株式会社トヨトミ（英: TOYOTOMI CO.,LTD.）は、日本の大手暖房器具・空調機器メーカーである。本社は愛知県名古屋市瑞穂区。冬季放映のCMで有名な「トヨストーブ」で知られる。"
ネポン,ネポン株式会社（Nepon  Inc.）とは、農業用機器、住宅機器メーカーである。本社所在地は東京都渋谷区渋谷1丁目4番2号。
ノーリツ,株式会社ノーリツ（英: Noritz Corporation）は、兵庫県神戸市中央区に本社を置く給湯器、浴槽、システムキッチン、システムバス、洗面化粧台などの住宅設備の製造販売を行うメーカーである。東京証券取引所第1部上場企業。キャッチフレーズは「新しい幸せを、わかすこと。」
ハーマン_(ガス器具メーカー),"株式会社ハーマン（英: Harman Co., Ltd.）は、主にガスを使った調理器具や給湯設備などを製造するメーカー。"
パール金属,パール金属株式会社（パールきんぞく）とは、新潟県三条市に本社を置く日本の企業である。主にフライパンや圧力鍋などの金属製台所用品などを製造している。また、アウトドア用品を製造・販売しているキャプテンスタッグ（CAPTAIN STAG ）のブランドでも知られている。
パイオラックス,"株式会社パイオラックス（英文名称PIOLAX, Inc.）は、横浜市保土ケ谷区に本社を置く金属製品メーカー。ばねを主力とし、自動車部品の他生活機器・医療機器・セキュリティ製品の製造などを行う。旧社名は加藤発条株式会社。"
ハルテック,株式会社ハルテック（はるてっく、英文社名 HALTEC CORPORATION）は、かつて大阪府大阪市西区に本店を置いていた橋梁メーカー。
パロマ_(企業),"株式会社パロマ（英: Paloma, Ltd.）は、主にガスコンロ、湯沸器、ガス暖房装置などを製造する金属製品メーカー。本社は愛知県名古屋市瑞穂区にある。なお、企業理念・キャッチフレーズが長らく設定されていなかったが、後述する湯沸器死亡事故以降は「お客様品質へ、全力で。」を全面に掲げている。また、創業100周年となった2011年からは「温もりある明日のために。」のキャッチフレーズも用いられている。"
ピカコーポレイション,ピカコーポレイションは、アルミ合金製のはしご、脚立、作業台をはじめとする作業用製品、仮設機材、園芸用品を開発、製造・販売している企業。大阪府東大阪市長田中に本社を置く。
ファインシンター,"株式会社ファインシンター（英: Fine Sinter Co.,Ltd.）は、愛知県春日井市に本社を置く自動車用粉末冶金部品を製造、販売するメーカーである。自動車の他に産業油圧機器、鉄道車両用部品も製造。"
フェザー安全剃刀,フェザー安全剃刀株式会社（フェザーあんぜんかみそり）は、日本の剃刀（カミソリ）・替刃メーカー。主にカミソリ製品をはじめ、シェービングフォーム、理美容製品、工業用刃物、医療用刃物を製造している。大阪府大阪市北区大淀南に本社を置く。
フジマック,株式会社フジマックは、東京都港区新橋に本社を置く業務用厨房機器の製造販売会社。
フラッシュツール,"フラッシュツール株式会社（ふらっしゅつーる、FLASH TOOL CO., LTD. ）は東京都大田区に本社をおく、FPCブランドのソケットレンチを専門とした工具を販売する企業。製造元は、大阪府阪南市に本社工場を置くフラッシュ精機株式会社（創業：明治30年）である。"
ベッセル_(工具メーカー),"株式会社 ベッセル（英語: VESSEL CO.,INC ）は、大阪府大阪市東成区に本社を置く工具メーカーである。1916年創業。"
ホッカンホールディングス,ホッカンホールディングス株式会社（英称：HOKKAN HOLDINGS LTD.）は、東京都千代田区に本社を置く製缶、充填事業を行うホッカングループの持株会社。ホッカングループには、容器事業を行う北海製罐株式会社、充填事業の株式会社日本キャンパック、機械製作事業のオーエスマシナリー株式会社がある。ホッカンHDは、それら3事業の本部機能を持ち、グループ企業相互の連携を図る持株会社である。
マーベル_(工具メーカー),株式会社マーベルは、1943年、大阪で創業の電線ケーブルの配線工事に使用する工具を主力とした電設工具の総合メーカー。主な商品に、圧着工具、ケーブルカッター、通線・入線工具等がある。ブランドは、メインブランドの「マーベル」に加え「プロメイト」「ジョブマスター」を持っている。ミノル工業株式会社は、マーベルのグループ企業である。
マルゼン_(厨房機器),"株式会社マルゼン（英: MARUZEN CO., LTD.）は、東京都台東区に本社をおく厨房機器製造メーカー。"
マルト長谷川工作所,マルト長谷川工作所（マルトはせがわこうさくじょ、Maruto Hasegawa Kosakujo INC. ）は日本の新潟県三条市にあるKEIBAブランドの手動工具メーカーであり、世界に通じる高品質とデザイン力を持っている。
ミカミ工業,ミカミ工業株式会社（みかみこうぎょう）は、大阪府東大阪市に本社を置く、アルミ製門扉・フェンス等の開発・製造・販売を行う企業である。1909年創業。社屋がアメリカ・ワシントンのホワイトハウスとそっくりであることで有名である。
ミヤナガ,株式会社ミヤナガは兵庫県三木市に本社を置く企業であり、主にコンクリートドリル・超硬工具・ダイヤモンド工具及び製造工具の販売並びに施工を目的としている株式会社である。
モリテック_スチール,モリテック スチール株式会社は、特殊鋼、普通鋼、ベーナイト鋼帯卸販売、また、金属加工品の製造販売を行う会社である。鉄鋼商社として特殊鋼の取扱量は国内トップである。また大手高炉メーカーとの関係も深い。ベーナイト組織におけるベーナイト鋼帯の量産化は国内初である。メーカーとして自動車部品、CVT部品生産にも力を入れており、日系自動車メーカーや大手日系自動車部品メーカーのグローバル展開に合わせ、同時に積極的にグローバル展開をおこなっている。プレス加工技術には定評がある。
ヤマシナ,株式会社ヤマシナは、京都市山科区に本社をおく、十字穴付ねじの製造会社。
リバースチール,"リバースチール株式会社（英文名称River Steel Co.,Ltd.）は、鋼材の加工・販売、建設事業などを行う企業。リバー（=川）スチール（=鉄）の名が示す通りかつては川崎製鉄のグループ企業であり、現在はJFEグループの一角を占めている。"
リンナイ,リンナイ株式会社 (Rinnai Corporation) は、家庭用ガスコンロ、給湯器など、ガス製品の開発・製造会社。キャッチフレーズは一時期いくつか制定されていたものの、その後は長らく制定されていなかった。しかし、創業90年目に入った2009年（平成21年）9月1日に、『暮らしにいい感じ、はじまる。』を制定した。
レダ_(企業),"株式会社レダ（Leda Co., Ltd.）は、1979年（昭和54年）に創業した、ジュエリーやゲルマニウムなどを扱う日本の企業。旧社名はレダセントラル。磁気製品にはコリの部位に貼ってコリを治すプチシルマ、ジュエリーにはLEDA SILMA Vendrediがある。"
ローテンベルガー_(企業),ローテンベルガーは、配管・暖房・エアコン・冷凍・ガス・環境分野の工具と機械の製造販売をする国際企業である。ブランドは、ROTHENBERGER。
ロブテックス,"株式会社ロブテックス （ろぶてっくす、LOBTEX CO.,LTD. ）は大阪府東大阪市に本社をおく、LOBSTER（エビ印）ブランドの金属製品事業とレジャー事業を行なっているグループ企業。"
