JFEミネラル,"JFEミネラル株式会社 （ジェイエフイーミネラル、英文社名 JFE MINERAL COMPANY, LTD.）は、鉱物を中心とした資源・素材関連事業を手がける日本の企業である。"
K&Oエナジーグループ,K&Oエナジーグループ株式会社は、関東天然瓦斯開発株式会社とその子会社であった大多喜ガス株式会社が共同株式移転により設立した持株会社。天然ガスの開発・採取から小売までを一貫して提供する体制とすべく設立された。
MMXミネラカオ,MMXミネラカオ（MMX Mineracao e Metalicos S.A.）は、持株会社グルーポEBX傘下の鉄鉱石採掘会社である。本社をブラジル・リオデジャネイロに置き、本社直営で、MMXコロンビア・ミネラカオ、MMXスーデステ、ミネラ・MMX・ド・チリの子会社を持つ。2006年、サンパウロ証券取引所の株式を新規公開し、5.09億ドルの資金を調達した。また、鉄鉱石鉱山を営んでいることから、鉱石の輸送業務を併営していた。その会社は、LLXロジスチカという形で、2007年にスピンオフされた。2010年1月、IBOVESPA構成銘柄に採用された。MMXミネラカオは、リオデジャネイロ州、ミナスジェライス州、マットグロッソ・ド・スル州に鉄鉱石の鉱山を営むと同時に、チリでは新しい事業を開始している。
アマルガメイテッド・ロードストーン・コーポレーション,アマルガメイテッド・ロードストーン・コーポレーション（英語: Amalgamated Roadstone Corporation、略称:ARC）はイギリスに存在した採石会社。
インターナショナル・コール・グループ,インターナショナル・コール・グループ (International Coal Group) は、アメリカ合衆国の炭鉱会社である。アパラチア山脈の北部・中部（ケンタッキー州・メリーランド州・ウェストバージニア州）で12の、イリノイ州で1つの採鉱複合体 (mining complex) を運営している。
インターロス,インターロス（ロシア語: Холдинговая компания Интеррос、Interros）は、ロシアの持株会社、民間投資会社。鉱業、金属、エネルギー、金融、小売、不動産などの産業部門を傘下に置くロシア有数の新興財閥（オリガルヒ）である。インターロス・グループの総帥は、ウラジーミル・ポターニンとノリリスク・ニッケル社社長のミハイル・プロホロフ。本社はモスクワ。2007年1月1日現在、グループの総資産は300億ドルに達する。グループ企業はロシア国内に加え、ヨーロッパ、アジア、北アメリカに広がっている。インターロス傘下の産業部門は以下の通り:  冶金工業、鉱業部門（ノリリスク・ニッケル）  金山 (Polyus Zoloto社 Polyus Zoloto Company）  食品、農業部門（アグロス・グループ）  マスメディア（プロフ・メディア・ホールディング社）  不動産、観光部門（オープン・インヴェストメント、ローザ・フルトル社）金融部門は以下の通り： ロスバンク  AKB MFK OSG（ソグラシエ） KhK（インタロスフィンコム、インタロスリージング） SK（インターロス・ソグラーシェ） NPF（インターロス・ドストインストヴォ）↑ ↑
ヴァーレ,"ヴァーレ (CVRD, Companhia Vale do Rio Doce S.A.、NYSE: VALE) は、ブラジルの総合資源開発企業である。本社は、リオデジャネイロに所在している。ブラジルを代表する民間企業。かつてはリオドセと呼ばれていた。主力商品は鉄鉱石であり、鉄鉱石の生産・販売のシェアは35%で世界一である。ヴァーレとリオ・ティントとBHPビリトンの鉄鉱石3大メジャーで、世界の鉄鉱石輸出の約80%を占める。鉄鉱石を除いて採掘しているものは、ニッケル（世界第2位 ）、ボーキサイト、銅、金、マンガン、炭酸カリウムなどである。2001年の生産量を以下に述べる。鉄鉱石生産量は1億2200万トン。主要鉱山は、規模の順に北部のパラー州カラジャス、南部のミナスジェライス州のイタビラとサミトリ（ポルトガル語: Samitri）である。この三つで同社の生産量の約90%を占める。ボーキサイトの生産量は1070万トン、マンガン170万トン、金は1.6トンである。保有鉄鉱山における2001年時点の推定埋蔵量は39億9000万トン。2001年の売上高は米ドル換算で、39億9000万ドル（純利益11億2000万ドル）。鉄道・海運・発電も手がける。"
ジパング_(東京都),株式会社ジパングは、東京都渋谷区に本社を置く日本で唯一の金専門鉱山会社。創業者・代表取締役社長は、投機家の松藤民輔。
プラネタリー・リソーシズ,"プラネタリー・リソーシズ（英語: Planetary Resources, Inc.）は、将来の小惑星鉱業を目的とするアメリカ合衆国の企業である。2010年の設立当初は Arkyd Astronautics という社名であったが、2012年に現在の名称へと変更された。"
ペトロナス,ペトロナス（マレー語: Petronas）は、1974年8月17日に創設されたマレーシアの石油及びガスの供給を行う国営企業である。正式社名は（Petroliam Nasional Berhad）。マレーシアの自動車メーカープロトンの株主でもある。その本社ビルはクアラルンプールにあり、ペトロナスツインタワーとして知られている。世界30カ国以上で事業展開をしており、日本でも液化天然ガス市場において少なからぬシェアを確保している。2008年11月から日本の潤滑油市場に高性能エンジンオイル　「SYNTIUM」シリーズを投入。日本での販売は株式会社ペトロプランが行う
