ABNアムロ銀行,ABNアムロ銀行 （えーびーえぬアムロぎんこう、ABN Amro N.V.） は、リーマン・ショック前後の再編劇を経て国有化されたオランダの銀行。かつてユーロネクスト・アムステルダム市場(Euronext: AAB  ) 及び、ニューヨーク証券取引所(NYSE: ABN) に上場し、AEX指数採用銘柄の一つだった。
DBS銀行,DBS銀行（英: DBS Bank Limited、中: 星展行有限公司）は、シンガポールの銀行である。現在の名前になる前の2003年7月までは、シンガポール開発銀行（英: The Development Bank of Singapore Limited、中: 新加坡展行）として知られており、日本語では、改名後もこの名前で呼ばれている場合が多い。この銀行は1968年にシンガポール政府により開発に対する融資機関として設立された。今日では、その支店が100以上も島々に広く存在している。DBS銀行は東南アジアにおいて資産において最も大きな銀行で、アジアの中でも大規模な銀行の1つである。香港とシンガポールにおいて、一般銀行業務、資金調達、資産運用、証券仲介、負債処理において優位な位置を確保している。
HDFC銀行,HDFC銀行（英語：HDFC Bank）は、インドの商業銀行。
HSBCホールディングス,HSBCホールディングス（エイチエスビーシーホールディングス、HSBC Holdings plc）は、イギリス、ロンドン、カナリー・ワーフに本社を置く世界最大級の金融（商業銀行を主体とする）グループである。
HSBC銀行_(台湾),台湾HSBC銀行（中国語：豐（台灣）商業銀行、英称：HSBC Bank (Taiwan)）は台湾の銀行で、イギリスの大手金融グループHSBCホールディングスの一部を成している。本社は台北市信義区に置かれている。
HSBC銀行_(中華人民共和国),中国HSBC銀行（中国語：中国；英称：HSBC Bank China）は中華人民共和国にもある銀行で、イギリスの大手金融グループHSBCホールディングスの一部を成している。本社はロンドンに置かれている。
ICICI銀行,ICICI銀行（英語：ICICI Bank Ltd.）は、インドのグジャラート州ヴァドーダラに本社を置くが、実質的な本社機能はマハーラーシュトラ州ムンバイに存在する。インドの市中銀行としては、インドで2番目の規模の銀行である。かつては「Industrial Credit and Investment Corporation of India(インド工業信用投資公社)」と称していた。
INGグループ,INGグループ（ING Groep N.V.、NYSE:ING）は、オランダ発祥の総合金融機関。INGはInternationale Nederlanden Groepの意。本社はアムステルダム。
NCT信託銀行,NCT信託銀行株式会社（エヌシーティーしんたくぎんこう、NCT Trust and Banking Corporation）は、かつて存在した東京都に本店を置く信託銀行。
SBJ銀行,株式会社SBJ銀行（エスビージェーぎんこう、Shinhan Bank Japan）は、新韓銀行の在日支店の業務を譲受け、2009年（平成21年）9月14日に営業開始した日本の銀行。
SMBC信託銀行,株式会社SMBC信託銀行（エスエムビーシーしんたくぎんこう、英語: SMBC Trust Bank Ltd.）は、三井住友フィナンシャルグループ（SMFG）傘下の信託銀行である。三井住友銀行（SMBC）の100%子会社。従来、グループ内に信託部門を持たなかったSMFGにおける信託銀行として2013年に発足（三井住友トラスト・ホールディングス傘下の三井住友信託銀行（SMTB）はSMFGとは無関係である。ただしSMBCの前身行はそれぞれ信託部門を子会社として持っており、いずれもSMTBの前身行に売却されている）。
UBS,ユービーエス グループ AG（UBS Group AG）は、スイスに本拠を置く世界有数の金融持株会社である。親会社はUBS AG。投資銀行・証券業務、富裕層向けウェルス・マネジメントおよび資産運用業務を主に行う。日本においては1960年代に営業拠点を開設し、2015年６月現在ではUBS証券株式会社、UBSグローバル・アセット・マネジメント 株式会社、UBS銀行東京支店の3法人を通じて業務を行う(#日本における活動も参照)。1990年以降、UBSの責任者であったアンドレ・リュシが国際決済機関クリアストリームの代表取締役を務め、匿名口座を濫発した。
UFJホールディングス,"株式会社UFJホールディングス（ユーエフジェイホールディングス、英文名称：UFJ Holdings, Inc.）は、かつて存在した日本の金融持株会社。"
UFJ銀行,UFJ銀行（ユーエフジェイぎんこう、英称: UFJ Bank Limited）は、かつて存在した日本のメガバンク。2002年1月15日に、UFJホールディングス傘下の三和銀行（大阪市）と東海銀行（名古屋市）が合併して誕生した。2006年1月1日に東京三菱銀行に吸収合併され、現在の三菱東京UFJ銀行となった。発足から、わずか3年11カ月15日で姿を消した計算になる。
あおぞら銀行,"株式会社あおぞら銀行（あおぞらぎんこう、英称：Aozora Bank, Ltd.）は、東京都千代田区に本拠を構える普通銀行である。"
